,Unnamed: 0,ssyk_2012_kod,url,code,title,description,english
0,1,2662,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2662,2662,Kuratorer,"Ger information om samhällets olika möjligheter att ge hjälp och stöd till människor i behov av råd, stöd och hjälp. Undersöker olika lösningar för att förbättra hjälpsökandes livssituation.","['Provide information about the different possibilities in society to provide help and support to people in need of advice, support and help, and explore different solutions to improve the life situation of those in need of help.']"
1,2,3512,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=3512,3512,"Supporttekniker, IT","Ger teknisk support. Genomför felsökningar, analyserar och åtgärdar uppkomna fel. Ger service och support i samband med installation och underhåll av system. Löser problem som uppstår t.ex. med användares lösenord.","['Provide technical support — error detection, analytics, troubleshooting — provide services and support related to system installation and maintenance, troubleshooting password issues, for example.']"
2,3,9332,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=9332,9332,"Ramppersonal, flyttkarlar och varupåfyllare m.fl.","Packar, lastar och lossar gods, möbler, maskiner och andra artiklar. Tankar flygplan och hanterar bagage. Fyller på och staplar varor.","['Packing, loading and unloading goods, furniture, machines and other articles, cleaning airplanes and handling baggage, loading and unloading goods.']"
3,4,110,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=0110,110,Officerare,"Leder, planerar och genomför militära operatio­ner nationellt och internationellt. Leder militära förband.","['Leather, design and execute military operations nationally and internationally. Leather military organizations.']"
4,5,210,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=0210,210,Specialistofficerare,"Deltar i planering och genomförande av militära operationer, nationellt och internationellt. Utbildar samt är specialist inom sitt tjänsteområde inom teknisk tjänst, sjöstrid, luftstrid, markstrid, ledning eller logistik. Leder lägre militära förband.","['Participates in the planning and execution of military operations, nationally and internationally, trains and is a specialist in the fields of technical service, naval, air, ground, command or logistics, serving in lower-level military units.']"
5,6,310,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=0310,310,Soldater m.fl.,Medverkar i militära operationer och övningar nationellt och internationellt med främst väpnad strid som huvuduppgift.,['Participates in military operations and exercises nationally and internationally with the primary responsibility for armed struggle.']
6,7,1111,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1111,1111,Politiker,"Fattar beslut, leder och påverkar verksamhet i demokratiskt valda organ på nationell, regional eller lokal nivå. Utformar, stadfäster, ändrar och upphäver lagar, förordningar och andra författningar.","['Decides, leads and influences the activities of democratically elected bodies at the national, regional or local level, formulates, oversees, changes and repeals laws, regulations and other executives.']"
7,8,1112,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1112,1112,"General-, landstings- och kommun­direktörer m.fl.","Organiserar, leder och svarar för att politiska beslut verkställs. Planerar, leder och samordnar myndigheters, kommuners och landstings verksamhet. Ger den politiska ledningen råd i sakfrågor.","['It organizes, directs and responds to the implementation of political decisions, it plans, directs and coordinates the activities of government, municipalities and municipalities, and it advises political leaders on policy issues.']"
8,9,1113,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1113,1113,Chefstjänstemän i intresseorganisationer,"Planerar, leder och samordnar verksamhet i intresseorganisationer. Svarar för förhandlingar, intressebevakning och information. Represen­terar organisationen och dess medlemmar i utredningar, uppvaktningar, remisser och dylikt.","['Plans, directs and coordinates activities in stakeholder organizations, responds to negotiations, monitoring of interests and information, and involves the organization and its members in investigations, surveillance, review and dissent.']"
9,10,1120,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1120,1120,Verkställande direktörer m.fl.,"Högsta chefer i verksamhet med chefshierarki. Planerar, leder och samordnar verksamhet i företag och affärsverk med stöd från andra chefer, efter riktlinjer fastställda av en styrelse eller ledning. Formulerar och beslutar om mål och policy. Fattar beslut om arbetsorganisation och större investeringar. Representerar företaget i dess förehavanden med andra företag, organisationer och myndigheter. Redovisar resultat till styrelsen eller ledningen.","['Top executives with executive direction. Plans, directs and coordinates business and business operations with the support of other executives, following guidelines set by a board or management. Formulates and decides on goals and policies. Makes decisions about work organization and larger investments. Represents the company in its dealings with other companies, organizations and governments. Redirects results to the board or management.']"
10,11,1211,https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1211,1211,Ekonomi- och finanschefer nivå 1,"Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna ekonomiska verksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer.","['Head of function or chief of staff at the interim level, acting director or equivalent, planning, directing and coordinating the overall internal economic activity of a company or organization, in consultation with its chief executive, other departmental officers and other acting officers.']"
