"","ssyk_2012_kod","url","code","title","description"
"1","2662","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2662","2662","Kuratorer","Ger information om samhällets olika möjligheter att ge hjälp och stöd till människor i behov av råd, stöd och hjälp. Undersöker olika lösningar för att förbättra hjälpsökandes livssituation."
"2","3512","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=3512","3512","Supporttekniker, IT","Ger teknisk support. Genomför felsökningar, analyserar och åtgärdar uppkomna fel. Ger service och support i samband med installation och underhåll av system. Löser problem som uppstår t.ex. med användares lösenord."
"3","9332","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=9332","9332","Ramppersonal, flyttkarlar och varupåfyllare m.fl.","Packar, lastar och lossar gods, möbler, maskiner och andra artiklar. Tankar flygplan och hanterar bagage. Fyller på och staplar varor."
"4","0110","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=0110","0110","Officerare","Leder, planerar och genomför militära operatio­ner nationellt och internationellt. Leder militära förband."
"5","0210","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=0210","0210","Specialistofficerare","Deltar i planering och genomförande av militära operationer, nationellt och internationellt. Utbildar samt är specialist inom sitt tjänsteområde inom teknisk tjänst, sjöstrid, luftstrid, markstrid, ledning eller logistik. Leder lägre militära förband."
"6","0310","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=0310","0310","Soldater m.fl.","Medverkar i militära operationer och övningar nationellt och internationellt med främst väpnad strid som huvuduppgift."
"7","1111","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1111","1111","Politiker","Fattar beslut, leder och påverkar verksamhet i demokratiskt valda organ på nationell, regional eller lokal nivå. Utformar, stadfäster, ändrar och upphäver lagar, förordningar och andra författningar."
"8","1112","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1112","1112","General-, landstings- och kommun­direktörer m.fl.","Organiserar, leder och svarar för att politiska beslut verkställs. Planerar, leder och samordnar myndigheters, kommuners och landstings verksamhet. Ger den politiska ledningen råd i sakfrågor."
"9","1113","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1113","1113","Chefstjänstemän i intresseorganisationer","Planerar, leder och samordnar verksamhet i intresseorganisationer. Svarar för förhandlingar, intressebevakning och information. Represen­terar organisationen och dess medlemmar i utredningar, uppvaktningar, remisser och dylikt."
"10","1120","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1120","1120","Verkställande direktörer m.fl.","Högsta chefer i verksamhet med chefshierarki. Planerar, leder och samordnar verksamhet i företag och affärsverk med stöd från andra chefer, efter riktlinjer fastställda av en styrelse eller ledning. Formulerar och beslutar om mål och policy. Fattar beslut om arbetsorganisation och större investeringar. Representerar företaget i dess förehavanden med andra företag, organisationer och myndigheter. Redovisar resultat till styrelsen eller ledningen."
"11","1211","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1211","1211","Ekonomi- och finanschefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna ekonomiska verksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
"12","1212","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1212","1212","Ekonomi- och finanschefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom ekonomi. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på ekonomifunktionen."
"13","1221","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1221","1221","Personal- och HR-chefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna personaladministrativa verksamheten i ett företag eller organisation i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
"14","1222","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1222","1222","Personal- och HR-chefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom personaladministration. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på personalfunktionen."
"15","1230","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1230","1230","Förvaltnings- och planeringschefer nivå 0","Planerar, leder och samordnar den strategiska planeringen och policyarbetet för verksamheten på företag eller organisation, underställda en verkställande direktör eller motsvarande. Planlägger och leder den dagliga verksamheten samt ansvarar för personal."
"16","1241","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1241","1241","Informations-, kommunikations- och PR-chefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande informations-, kommunikations- eller PR-verksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
"17","1242","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1242","1242","Informations-, kommunikations- och PR-chefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefs­hierarki som utför specialiserade tjänster inom informations-, kommunikations-, reklam eller PR-verksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal inom information, kommunikation, reklam och PR."
"18","1251","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1251","1251","Försäljnings- och marknadschefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder, utvecklar och samordnar den övergripande försäljnings- eller marknadsverk­samheten i företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer."
"19","1252","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1252","1252","Försäljnings- och marknadschefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom försäljning och marknad. Planlägger och leder den dagliga försäljnings- och marknadsverksamheten samt ansvarar för personal."
"20","1291","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1291","1291","Övriga administrations- och servicechefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder, utvecklar och samordnar den övergripande administrativ- och serviceverksamhet i företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer."
"21","1292","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1292","1292","Övriga administrations- och servicechefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom annan administrations- och serviceverksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på intern administrativ- och servicefunktion."
"22","1311","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1311","1311","IT-chefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna IT-verksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
