PageNo,Text
1,"['Översättning av europeisk patentskrift (T 3)', '(19) SE', '0361612', '(87) Europeiskt publ nr', '(86) Europeiskt ansökningsnr', '89202410.0', '5', '(51) Internationell klass', 'PATENTVERKET', 'H01M 8/06', '(86) Ingivningsdag för ansökan', '(45) Meddelandedatum för', 'om europeiskt patent', 'det europeiska patentet', '89-09-25', '94-08-03', '(60) Stamansökans nummer', '(24) Löpdag', '(30) Prioritetsuppgifter', '88-09-26 NL', '8802357', '(54) Benämning', 'Förfarande för att alstra elektricitet', '(73) Patenthavare', 'KTI GROUP B.V. NL-2715 CA Zoetermeer NL', '(72) Uppfinnare', 'P F . Van den Oosterkamp NL-2726 SH Zoetermeer NL', 'J F Nomden , NL-2715 AM Zoetermeer NL', '(84) Designerade stater', 'AT BE CH DE ES GB IT LI NL SE', 'Siffrorna inom parentes langer internationell identifieringskod, INID-kod']"
2,"['0361612', 'Uppfinningen avser ett förfarande för att alstra elektricitet', 'under användning av ett bränslecellsystem.', 'För att alstra elektricitet frän fossila bränslen eller', 'bränslen pá basis av andra kolväten använder man traditio-', 'nellti allmänt elektricitetsverk, i vilka bränsle sãsom olja', 'eller naturgas förbrännes för drivning av gasturbiner', 'och/eller angturbiner, vilka turbiner äter är förbundna med', 'elektricitetsgeneratorer.', 'En avsevärd olägenhet med dylika system är deras förhällande- -', 'vis lága elektriska verkningsgrad. Man har försökt undvika', 'denna olägenhet genom användning av system med högre verk-', 'ningsgrad, sãsom bränslecellsystem. Vid dylika system kan man', 'i en 2-producerande enhet omsätta fossila bränslen eller', 'annat bränsle till en H2 innehállande gas, varefter denna', 'gas, om sá önskas efter ytterligare rening, tillföres anod-', 'rummet i en bränslecellenhet. Dylika system är redan kända', 'och ytterligare mánga undersökningar för att förbättra dessa', 'system genomföres.', 'Användningen av sádana system har ett antal fördelar. För det', 'första är verkningsgraden hos bränsleceller hög, framför allt', 'dã de olika delarna i systemet pá lämpligt sätt är integrera-', 'de. I ett dylikt fall kan verkningsgraden för hela anlägg-', 'ningen till och med vara högre än verkningsgraden för bräns- -', 'lecellerna.', 'För det andra erháller man en elektricitetsproduktion med en', 'lägre avgivning av skadliga ämnen, medan för det tredje de', '""partiella belastningskarakteristikorna"" är goda, vilket be-', 'tyder att även vid lág belastning en god verkningsgrad erhäl-', 'les. Slutligen föreligger även den fördelen att man kan ás-', 'tadkomma modulkonstruktion.', 'Anläggningar pá basis av bränsleceller omfattar i allmänhet', 'en förbehandling av bränslet (avsvavling, förvärmning), en', 'omvandling av bränslet till en gas, som innehäller H2 och CO,', 'genom angreformering och en därtill sig anslutande ""skift-']"
3,"['2', 'reaktion"", för ytterligare omsättning av CO till H2. Efter', 'avlägsnande av eventuellt förefintliga föroreningar är gasen', 'lämpad för användning i en bränslecell.', 'Man tillför denna gas anodrummen i bränslecellenheten, medan', 'en O2 innehállande gas tillföres katodrummen i samma enhet. I', 'bränslecellen alstras elektricitet och värme, varvid elektri-', 'citeten i allmänhet därefter omvandlas till växelström för', 'att denna skall kunna användas i elektricitetsnätet. Värmet', 'máste bortföras för att undvika att cellen blir för varm.', 'Olika typer av bränsleceller är kända, varvid skillnaden', 'framför allt beror pá den använda elektrolyttypen. Dessa', 'elektrolyter beskrives i stor utsträckning i litteraturen och', 'omfattar bl.a. fosforsyra, smält karbonat, alkaliska elektro-', 'lyter, fasta oxider och fasta polymerer.', 'I en rapport av E.R. Elzinga m. fl., EPRI EM-384, januari', '1977, Exxon Enterprises, med titeln ""Application of the Alst', '-', 'hom/Exxon alkaline fuel cell system to utility power genera-', 'tion"", s. A2-4 och S. 3-4 t.o.m. 3-6, beskrives användningen', 'av alkaliska bränsleceller för strömalstring.', 'För att fà en tillräckligt hög verkningsgrad använder man vid', 'ifrágavarande system en vittgäende integrering av de olika', 'procesströmmarna. Detta betyder dock att vid störningar i en', 'eller flera delar av anläggningen eller vid avbrott av ström-', 'avtagningen mestadels hela anläggningen máste stoppas. Det är', 'naturligtvis möjligt att undvika dessa problem genom använd-', 'ning av en avsevärt mindre kraftig integrering. Detta har', 'dock den olägenheten att verkningsgraden blir mindre.', 'Vid användning av bränslecellsystem är det à ena sidan vik-', 'tigt att förfoga över en god värmeätervinning, medan à andra', 'sidan en god stabilisering av hela systemet och en god regle-', 'ring önskas.', 'Uppgiften för uppfinningen är att astadkomma ett förfarande', 'för att alstra elektricitet frän ett bränsle pá basis av ett']"
4,"['0361612', 'eller flera kolväten under användning av ett bränslecellsys- -', 'tem, varvid det gäller en vittgäende integrering, men varvid', 'de därmed sammanhängande problemen icke eller i mycket ringa', 'utsträckning förekommer, medan dessutom en enkel och väl reg-', 'lerbar anläggning erhälles.', 'Uppfinningen avser därför ett förfarande för att alstra', 'elektricitet frán ett bränsle pá basis av ett eller flera', 'kolväten, varvid man', '- omsätter nämnda bränsle katalytiskt till en CO och H2 in-', 'nehállande gas,', '-', 'kyler den sá erhällna gasen under bildande av processánga,', '- tillför den avkylda gasen till atminstone en ""skiftreak-', 'tor"", i vilken atminstone en del av befintligt CO med ánga', 'under bildande av H2,', '-', 'tillför den H2-haltiga gasen till anodrummen i atminstone', 'en bränslecellenhet, som under kylning och samtidig bild-', 'ning av processánga hálles pá arbetstemperaturen,', '-', 'häller arbetstemperaturen för bränslecellenheten och tem-', 'peraturen hos den till ""skiftreaktorn"" tillförda gasen', 'inbördes icke mer olika än 50°C,', '-', 'använder en bränslecellenhet med en arbetstemperatur av', 'minst 125°C,', '-', 'använder den alstrade processángan även för uppvärmning av', 'inmatningar till bränslecellen, och', '-', 'företar processângalstrandatet i ett och samma ángsystem,', 'varvid under förfarandets genomförande via regleringen av', 'ángtrycket i angsystemet en angtemperatur fastlägges, som', 'ligger tillräckligt under arbetstemperaturen för cellen', 'för att bortföra värmeöverskottet.', 'Genom användning av den givna temperaturordningen och inte-', 'greringen av upprätthällandet av arbetstemperaturen för', 'bränslecellen med uppvärmningen av inmatningarna till', 'bränslecellenheten är det enligt uppfinningen möjligt att', 'vittgáende med varandra integrera de olika stegen av förfa-', 'randet.']"
5,"['4', 'Enligt uppfinningen använder man ett integrerat angsystem för', 'till - och bortförsel av värme till och frän de olika förfa- -', 'randedelarna och speciellt angproduktionen pá basis av det', 'i', '""skiftreaktorn"" och bränslecellenheten alstrade värmet. En-', 'ligt uppfinningen utgär man frän ett och samma integrerade', 'ängsystem för H2-produktionsenheterna och för bränslecellen-', 'heten, vilket bl.a. betyder att angsystemet för alla dessa', 'enheter fungerar vid samma tryck och samma temperatur.', 'Genom átgärderna vid förfarandet enligt uppfinningen fär man', 'möjligheten att förverkliga en optimal integrering av de oli-', 'ka förfarandedelarna utan att därvid olägenheterna uppträder,', 'som man skulle kunna vänta vid en vittgäende integrering. I', 'praktiken har det visat sig att det är svärt att lâta den', 'kända ""fuel cellprocessor"" arbeta störningsfritt under längre', 'tid. Problem, som därvid uppträder, var följden av integre-', 'ringen, varvid avvikelser i ett bestämt förfarandesteg orsa-', 'kade en störning i ett annat förfarandesteg', 'Det har nu visat sig att genom integreringen enligt uppfin-', 'ningen, vid vilken man över ett enda ángsystem, som företrä-', 'desvis levererar mer ánga än som är nödvändigt för anlägg-', 'ningens drift, integrerar hela anläggningen, möjligheterna', 'för att uppfánga avvikelser och störningar blir mycket stör-', 're, sã att en avvikelse eller störning icke direkt har till', 'följd stoppande av hela anläggningen. Emedan ángsystemets', 'temperatur lätt kan upprätthällas, eventuellt tillsammans med', 'en startvärmare, vilken uppvärmes medelst utifrán tillfört', 'bränsle, kan ocksà vid en eventuell inställning driftstempe-', 'raturen för ""skiftreaktorn"" och bränslecellen upprätthällas,', 'vilket kraftigt förenklar en senare start.', 'En viktig fördel med förfarandet enligt uppfinningen innebär', 'ytterligare att genom integreringen enligt uppfinningen en', 'god stabilisering av förfarandet erhälles. Bl.a. genom an-', 'vändningen av ett integrerat angsystem erhäller man en stabil', 'och väl reglerbar anläggning, som är föga känslig för varia-', 'tioner i olika delar av densamma.']"
6,"['0361612', 'Även vid anläggningens start har förfarandet enligt uppfin-', 'ningen mánga fördelar, emedan genom användning av integre-', 'ringen över temperaturen de olika delarna pá enkelt vis kan', 'förvärmas ända till driftstemperaturen, varefter man snabbt', 'och effektivt kan starta.', 'Förfarandet enligt uppfinningen omfattar i princip fyra olika', 'steg. Det första steget omfattar omsättningen av det bränsle', 'som skall användas, som eventuellt kan vara förbehandlat, i', 'närvaro av ánga till en blandning, som innehäller H2, CO,', 'CO2, H2O, CH4 och ytterligare andra gasformiga föreningar. I', 'beroende av bränsleslaget kan det vara nödvändigt att utnytt -', 'ja en förbehandling Detta kan vara nödvändigt för att skydda', 'katalysatorerna frän förgiftning eller skada eller för att', 'ástadkomma optimala förfarandebetingelser. Vid sádana för-', 'behandlingar kan man tänka pá avsvavling, värmeutbyte, filt-', 'rering och liknande.', 'I beroende av den bränsletyp som skall användas kan tempera- -', 'turen för ángreformeringsreaktionen variera frán 250°C till', '1000°C. Alkanoler, sásom etanol, kräver lägre temperaturer än', 'sádana kolväten som nafta och naturgas. För nafta och natur-', 'gas ligger de vanliga temperaturerna mellan ca 600 och', '1000°C. Användningen av sist angivna temperaturer föredrages.', 'För ingreformeringen ligger de vanliga tryckvärdena mellan 1', 'och 50 bar.', 'Den i detta första steg erhállna gasen tillföres det andra', 'steget, nämligen ""skiftreaktionen"", där i närvaro av ánga', 'atminstone en del av befintlig CO ytterligare omsättes. Denna', 'reaktion sker i närvaro av en katalysator. I praktiken är', 'olika slag av katalysatorer användbara. Valet bestämmes ät- -', 'minstone delvis av temperaturen, som man kommer att använda i', 'detta steg. I allmänhet ligger denna temperatur mellan 150', 'och 500°C.', 'Lämpliga katalysatorer kan vara baserade pá Cu, Zn eller pá', 'Fe/Cr. Dessa katalysatorer är företrädesvis anordnade pá ett', 'inert bärarmaterial.']"
7,"['6', 'I detta sammanhang pápekas att ""skiftreaktionen"" är en exo-', 'term reaktion, sã att arbetstemperaturen för reaktorn i all-', '-', 'mänhet är högre än temperaturen i inloppet, dvs. hos gasen,', 'som tillföres reaktorn.', 'I det tredje förfarandesteget sker ett värmeutbyte mellan', 'olika procesströmmar. Pá grund av sammanhanget med de ytter-', 'ligare förfarandestegen avhandlas detta först efter behand-', 'lingen av det fjärde förfarandesteget.', 'Det fjärde förfarandesteget bildas genom bränslecellenheten.', 'Denna enhet bestär av i sig själv kända bränsleceller, som är', 'sammanfogade till en enhet (stack) Det är därvid väsentligt', 'att arbetstemperaturen för cellen ligger vid minst 125°C,', 'medan annars fördelarna med förfarandet enligt uppfinningen', 'uppnãs i otillräcklig mán. De övre gränserna för temperaturen', 'uppgár till 500°C, företrädesvis 400°C, emedan högre tempera-', 'turer icke ger nágra ytterligare fördelar. Den bränslecell- -', 'typ, som särskilt väl lämpar sig för användning vid förfaran-', 'det enligt uppfinningen, är den pá fosforsyra baserade', 'bränslecellen. Denna cell arbetar vid en temperatur av', '150-200°C, företrädesvis vid 180°C. I bränslecellen omsättes', 'väte med syre till elektrisk energi och värme. Denna värme', 'máste bortföras för att hâlla temperaturen pá det riktiga', 'värdet. Detta sker i princip genom ett ángsystem, i vilket', 'man väljer trycket sà att angtemperaturen ligger tillräckligt', 'mycket under arbetstemperaturen för cellen för att bortföra', 'värmeverskott. En lämplig temperaturskillnad är maximalt', '50°C, företrädesvis 5-25°C. Sásom exempel kan man ange att', 'vid en bränslecelltemperatur av 180°C lämpligen en ángtempe- -', 'ratur av 170°C kan användas, vilket svarar mot ett ángtryck', 'av 8 bar.', 'Det noteras även att användningen av bränsleceller pá basis', 'av alkaliska elektrolyter icke föredrages, emedan därvid i', 'allmänhet integreringsmöjligheterna  är för smá genom själva', 'den lága arbetstemperaturen.']"
8,"['0361612', 'Gasen som innehäller väte, tillföres efter förvärmning det', 'tredje steget till anodrummen, medan syrehaltig gas efter', 'förvärmning tillföres katodrummen. I allmänhet uppträder i', 'bränslecellen ingen fullständig omsättning, sã att tvã rest-', 'gaser erhälles. I den vätehaltiga gasen föreligger i allmän-', 'het ytterligare 5-45% av den ursprungliga mängden väte. Denna', 'restgas använder man pá fördelaktigt vis sãsom bränsle för', 'ängreformeringssteget.', 'Omsättningen av syret är i allmänhet lägre än omsättningen av', 'väte. Emedan man därtill mestadels använder luft bortbláses', 'restgasen, eventuellt efter värmeátervinning.', 'Den frän ""skiftreaktorn"" härrörande gasen behandlas i det', 'tredje steget vid förfarandet enligt uppfinningen för att', 'erhâlla en möjligast optimal matningsgas för bränslecellen-', 'heten. Genom en maximal användning av värmeutbyte erhäller', 'man en sá hög verkningsgrad som möjligt och samtidigt en god', 'temperaturreglering av de olika förfarandestegen.', 'För arbetstemperaturen hos ""skiftreaktorn"" väljes ett värde,', 'som ligger i närheten av drifttemperaturen för bränslecellen.', 'Företrädesvis ligger temperaturen för ""skiftreaktorn"" nágot', 'över temperaturen för bränslecellen Den frän angreformering', 'en härrörande matningsgasen är alltför varm för att genast', 'tillföra ""skiftreaktorn"" och máste därför kylas till det öns- -', 'kade värdet.', 'Vid användning av förfarandet enligt uppfinningen kan detta', 'dá pá enkelt sätt ske genom värmeväxling i ângproduktionssys- -', 'temet, t.ex. ett ángkärl.', 'Överskott av värme omsättes därvid till ánga, medan ävenledes', 'en idealisk temperaturreglering för ""skiftreaktorinloppstem-', 'peraturen"" erhälles.', 'Den väterika gasströmmen frán ""skiftreaktorn"" máste först', 'avkylas för kondensering och avskiljning av överskottsänga', 'och eventuellt förhandenvarande föroreningar Gasen stär se-']"
9,"['8', 'dan till förfogande vid en temperatur av ca 25-75°C och skall', 'förvärmas upp till ca 150-250°C. Den syrehaltiga gasen skall', 'likaledes uppvärmas till denna temperatur. Detta kan pá en-', 'kelt vis ske med hjälp av i systemet alstrad anga, t.ex. ge-', 'nom kondensation av anga.', 'Överskottsvärme vid bränslecellen omvandlas likaledes till', 'anga. En värmebalans i angsystemet innebär att produktionen', 'av ânga för hela anläggningens behov är gott och väl till-', 'räcklig, vilket betyder att det är möjligt att genom bort -', 'blásning av ánga hálla systemet i ett stabilt tillstánd, var-', 'igenom genomförandet av förfarandet ytterligare förbättras', 'och förenklas. Innan angan bortbläses kan man använda denna', 'för avgasning av pannmatningsvattnet.', 'Uppfinningen skall närmast beskrivas i samband med ritnings -', 'figuren, pá vilken ett blockschema för en utföringsform av', 'förfarandet enligt uppfinningen anges.', 'Över en ledning 1 tillföres ett pá kolväten baserat bränsle', 'till en avsvavlingsanordning 2. Det avsvavlade bränslet', 'tillföres över en ledning 3 till en angreformator 4, varefter', 'bränslet blandas med ánga, som tillföres över en ledning 5.', 'Över en ledning 6 tillföres bränsle (förbränningsgas) för', 'ángreformeringen, vilket bränsle härrör frán en senare del av', 'förfarandet. Om sã önskas över ledningen 7 tillsatsbränsle', 'tillföras ángreformatorn 4. över en ledning 8 tillföres en', 'O2 -haltig gas för förbränningen. Den producerade H2 och CO', 'innehällande gasen tillföres över en ledning 9 till en värme-', 'växlare 10, i vilken gasen med hjälp av över ledningar 11a', 'och 11b till - och bortfört värmeväxlingsmedium avkyles till', 'det önskade värdet. I ett ängkärl 12 omvandlas denna värme', 'till anga.', 'Den sá avkylda gasen tillföres över en ledning 13 till en', '""skiftreaktor"" 14. I denna reaktor omsättes en stor del av', 'den i gasen befintliga CO med den redan i gasen befintliga', 'ángan till väte. Gasen tillföres över en ledning 15 till vär-', 'meväxlaren 16, i vilken den avkyles med över en ledning 17']"
10,"['0361612', 'till - och bortfört kylvatten. Över en ledning 18 tillföres', 'gasen avloppskärlet 19, i vilket de kondenserade förorening- -', 'arna och vatten avskiljes samt bortföres över en ledning 20.', 'Över en ledning 21 tillföres den sã renade och torkade gasen', 'till en värmeväxlare 22, i vilken med hjälp av över en led-', 'ning 23a tillförd kondenserad ánga uppvärmning sker. Konden-', 'satet tillbakaföres via en ledning 23b till ängkärlet 12.', 'Över en ledning 24 tillföres sedan den H2 innehällande gasen', 'till anodrummen i bränslecellenheten.', 'Över ledningarna 26 och 26a tillföres en syre innehállande', 'gas, t.ex. luft, till katodrummen i bränslecellenheten 25. I', 'ledningen 26a föreligger en värmeväxlare 27, i vilken gasen', 'pá vanligt vis, sãsom beskrivits för värmeväxlaren 22, upp-', 'värmes med kondenserad ánga. Till- och bortförseln av ánga', 'respektive kondensat sker över ledningar 28a och 28b.', 'Vid den ovan beskrivna konfigurationen har man utgätt frán', 'användningen av separata värmeväxlare 22 och 27. Det är ocksà', 'möjligt att utföra värmeväxlingen i ängkärlet 12.', 'I bränslecellenheten 25 produceras elektricitet, som bort -', 'föres över 29. Över ledningen 30 bortskaffas restgas, som', 'fortfarande inneháller O2. Restgasen, som fortfarande inne- -', 'häller H2, tillbakaföres över en ledning 6 sásom bränslegas', 'för angreformatorn 4.', 'Över en ledning 31a tillföres bränslecellenheten 25 vatten,', 'vilket upptager överskottsvärmen, och som över en ledning 31b', 'tillföres ángkärlet 12, i vilket ánga alstras.', 'Kylkretsen för bränslecellenheten 25 kan utgöra en del av ett', 'enda integrerat ángsystem, men det kan även ha fördelar att', 'använda en sluten kylkrets för bortförsel av värme frán', 'bränslecellenheten. I detta fall bortföres med hjälp av en', 'vätska, sásom vatten, eller en annan värmeöverföringsvätska,', 'värme frán bränslecellenheten, vilket värme över en värme']"
