Table: Table_1

,Folk- ,Areal ,,Antal ningsenheter ,bruk- ,Ärlig förluster) fullständig ,energiförbrukning för ,(inkl. närvarande vid elektrifiering ,Beräknad ning (inkl. ,ärlig förluster) ,energiförbruk- âr 1940 ,
Kommun ,mängd ,land ,odlad ,större än 3 har ,totalt ,för lands- bygden ,för stor- industri ,totalt ,för lands- bygden ,för stor- industri ,totalt ,
,,har ,har ,st. ,st. ,kWh ,kWh ,kWh ,kWh ,kWh ,kWh ,
1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,
Piteã lands- ,,,,,,,,,,,,
kommun Hortlax ,12 666 3 478 ,224 069 29 183 ,5 412) 1 615) ,847 ,1 839 ,1570 200 ,3 130 000 ,4 700 200 ,2 209 200 ,4 700 000 ,6 909 200 ,
Arvidsjaur ,7 005 ,567 850 ,1 770 ,- ,576 ,474 500 ,--- ,474 500 ,654 700 ,- ,654 700 ,
Arjeplog ,3 173 ,1 296 720 ,370 ,- ,265 ,215 800 ,- ,215 800 ,296 500 ,a - ,296 500 ,
Norrfjärden ,4 741 ,48 201 ,2 202 ,258 ,630 ,596 500 ,,596 500 ,820 000 ,- ,820 000 ,
Älvsby ,6 753 ,172 590 ,2 118 ,281 ,756 ,585 000 ,,585 000 ,834 200 ,- ,834 200 ,
Nederluleã ,12 604 ,110 600 ,7 173 ,918 ,1 541 ,1 290 300 ,410.000 ,1 700 300 ,1 841 600 ,680 000 ,2 521 600 ,
Överlulea ,9 444 ,124 622 ,6 306 ,649 ,1 002 ,842 200 ,- ,842 200 ,1 217 000 ,- ,1 217 000 ,
Edefors ,3 063 ,158 370 ,1 307 ,132 ,331 ,324 500 ,- ,324 500 ,460 9 900 ,-- ,460 900 ,
Jokkmokk ,7 022 ,1 814 364 ,1 207 ,130 ,461 ,606 600 ,22 200 000 ,22 806 600 ,834 900 ,26 600 000 ,27 434 900 ,
Raneã ,8 555 ,202 240 ,3 570 ,450 ,1 089 ,743 400 ,130 000 ,873 400 ,1 028 100 ,160 000 ,1 888 100 ,
Nederkalix ,16 181 ,171 720 ,3 746 ,- ,1 010 ,1 403 300 ,5 780 000 ,7 183 300 ,1 909 300 ,7 230 000 ,9 139 300 ,
Överkalix ,6 366 ,277 900 ,1 252 ,- ,433 ,485 300 ,- ,485 000 ,651 500 ,- ,651 500 ,
Gällivare ,18 457 ,1 599 582 ,956 ,- ,450 ,1 137 500 ,12 880 000 ,14 017 500 ,1 378300 ,15 490 000 ,16 868 300 ,
Nedertornea ,4 773 ,41 620 ,1 109 ,107 ,364 ,369 400 ,2360000 ,2 729 400 ,514 200 ,2 950 000 ,3 464 200 ,
Karl Gustav. ,3013 ,44 810 ,1 264 ,113 ,277 ,284 200 ,- ,284 200 ,382 600 ,- ,382 600 ,
Övertorneã ,4 005 ,167 530 ,1 272 ,- ,367 ,318 500 ,200 000 ,518 500 ,434 900 ,250 000 ,684 900 ,
Hietaniemi ,2 380 ,70 350 ,678 ,84 ,285 ,203 900 ,160 000 ,363 900 ,271 400 ,200 000 ,471 400 ,
Korpilombolo Tärendö ,2 181 1 663 ,149 880) 166 520) ,464 ,,169 ,262 500 ,,262 500 ,357 200 ,- ,357 200 ,
Pajala ,4 066) ,,,,,,,,,,,
Junosuando ,1 129j ,473 260 ,1 326 ,,521 ,430700 ,,430700 ,581 000 ,- ,581 000 ,
Jukkasjärvi ,13 683 ,1 318 110 ,1 006 ,123 ,306 ,854 500 ,21 100 000 ,21 954 500 ,1 182 200 ,25 350 000 ,26 532 200 ,
Karesuando ,1 184 ,626 590 ,? (81) ,- ,50 ,69 400 ,- ,69 400 ,94200 ,- ,94 200 ,
,157 595 ,9 856 681 ,46 204 ,4 ,,,,,,83 610 000 ,101 563 900 ,





