Table: Table_1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Areal ,,Antal ningsdelar ,bruk- ,Ärligt ,energibehov ,vid fullständig till ,kraftstationerna ,elektrifiering och ,hänfört ,,,,
,,,,,,För ,närvarande ,,O m ,c:a 20 ,à r ,,,,
Härad och kommuner ,Antal inne vânare ,Land- areal ,Odlad areal ,Större än 3 hektar ,Totalt antal ,Husháll, hantverk, jordbruk och smá- industri ,Stor- industri ,Summa ,Hushâll, hantverk, jordbruk och smá- industri ,Stor- industri ,Summa 
1,2,3,4,5,6,7,8,9,10,11,12,,,,
Bottnaryd ,1 175,14 494,1 155,124,181,155 000,60 000,215 000,218 000,75 000,293 000,,,,
Mulseryd ,712,11 298,661,86,112,101 000,- ,101 000,155 000,- ,155 000,,,,
Angerdshestra ,527,8 400,510,70,87,66 000,- ,66 000,93 000,- ,93 000,,,,
Stengardshult ,558,8 829,342,59,81,115 000,- ,115 000,150 000,- ,150 000,,,,
Norra Unnaryd. ,578,8 648,449,64,92,73 000,- ,73 000,102 000,- ,102 000,,,,
Vadshult ,209,3 193,109,16,34,31 000,- ,31 000,41 000,- ,41 000,,,,
Öreryd ,436,6 560,274,47,64,58 000,- ,58 000,79 000,-- ,79 000,,,,
Norra Hestra ,608,3 618,255,38,73,131 000,81 000,212 000,174 000,102 000,276 000,,,,
Bonstorp ,503,9 350,444,64,76,137 000,- ,137 000,177 000,- ,177 000,,,,
Asenhöga ,1 262,12 095,566,87,173,145 000,580 000,725 000,218 000,826 000,1 044 000,,,,
Källeryd ,658,6 625,289,37,84,96 000,3 589 000,3 685 000,133 000,5 366 000,5 499 000,,,,
Jälluntofta ,359,4 155,210,25,69,33 000,- ,33 000,48 000,- ,48 000,,,,
Femsjö ,649,6 180,431,50,118,44 000,- ,44 000,76 000,- ,76 000,,,,
Lângaryd ,3597,23 142,1 796,233,532,376 000,- ,376 000,569 000,- ,569 000,,,,
Färgaryd ,1 899,8 061,615,74,213,146 000,19 100 000,19 246 000,211 000,27 600 000,27 811 000,,,,
Sodra Hestra ,1 457,9 292,893,118,242,164 000,- ,164 000,273 000,- ,273 000,,,,
Gryteryd ,410,3 635,213,31,77,19 000,- ,19 000,32 000,- ,32 000,,,,
Burseryd ,1 390,8 412,696,104,194,298 000,73 000,371 000,429 000,91 000,520 000,,,,
Sandvik ,161,2 201,103,19,31,12 000,- ,12 000,18 000,- ,18 000,,,,
Bosebo ,308,2 732,189,32,56,15 000,- ,15 000,25 000,- ,25 000,,,,
Villstad ,2 639,15 816,1 477,208,365,502 000,81 000,583 000,848 000,102 000,950 000,,,,
Bâraryd ,1 576,7 462,464,63,135,231 000,- ,231 000,387 000,- ,387 000,,,,
Vâthult ,488,4 236,270,41,72,59 000,- ,59 000,81 000,- ,81 000,,,,
Reftele ,1 937,15 047,1 374,196,290,267 000,95 000,362 000,440 000,119 000,559 000,,,,
Anderstorp ,1 969,9 276,614,79,200,312 000,990 000,1 302 000,589 000,1 500 000,2 089 000,,,,
Gnosjö ,1 288,5 647,357,54,126,219 000,88 000,307 000,403 000,110 000,513 000,,,,
Källersta ,564,3 461,294,34,108,61 000,- ,61 000,88 000,- ,88 000,,,,
Svarttorp ,883,5 584,1 549,84,105,177 000,- ,177 000,259 000,- ,259 000,,,,
Lekeryd ,974,6 753,1 968,121,139,129 000,- ,129 000,194 000,- ,194 000,,,,
Järsnäs ,915,7 449,1 241,100,118,121 000,- ,121 000,178 000,- ,178 000,,,,
Forserum ,2 006,6 075,1 014,92,107,208 000,495000,703 000,363 000,620 000,983 000,,,,
Barkeryd ,540,9 343,1 474,142,179,350 000,- ,350 000,468 000,- ,468 000,,,,
Järstorp ,592,3 618,1 054,41,51,66 000,- ,66 000,100 000,- ,100 000,,,,
Bankeryd ,1 106,3 620,1 280,75,105,253 000,- ,253 000,445 000,- ,445 000,,,,
Rogberga ,1723,7 117,2 071,123,159,141 000,- ,141 000,240 000,- ,240 000,,,,
Öggestorp ,535,4 765,953,44,62,79 000,- ,79 000,118 000,- ,118 000,,,,
Barnarp ,2 606,7 480,1 232,79,95,167 000,1 870 000,2 037 000,282 000,2 560 000,2 842 000,,,,
Mansarp ,1 376,6 476,742,73,94,206 000,451 000,657 000,361 000,586 000,947 000,,,,
